item,context,effect_type,effect,generation_start,generation_end,notes
jaw-fossil,passive,evolution-trigger,Can be restored into Tyrunt at specific locations,6,,
lajet-ball,field,catch-rate-modifier,2× normally; 2.75× against specific flying encounters,8,,
johto-slate,field,event-trigger,"Allows access to battle Raikou, Entei, and Suicune in the Johto Room at Ramanas Park.",8,,
jolly-mint,field,stat-modifier,"Changes nature effects to Jolly (Speed up, Special Attack down)",8,,
jubilife-muffin,field,healing,Cures all non-volatile status conditions.,8,,
kangaskhanite,held,evolution-trigger,Allows Mega Evolution into Mega Kangaskhan,6,,
kanto-slate,field,story,"Allows the player to battle Articuno, Zapdos, and Moltres in the Kanto Room at Ramanas Park.",8,,
kasib-berry,held,type-reduction,Halves damage from a supereffective Ghost-type attack; quarters it if the holder has Ripen.,4,,
kebia-berry,held,type-reduction,Halves damage from one super-effective Poison-type attack,4,,"With Ripen, damage is reduced to one quarter"
kee-berry,held,stat-boost,Raises Defense by one stage when hit by a physical move; consumed after use. Raises by two stages if the holder has Ripen.,6,,
kelpsy-berry,field,friendship-boost,Increases friendship and lowers Attack EVs by 10,3,,
ketchup,field,sandwich-modifier,"Adds Sweet Taste +8, Salty Taste +16, Sour Taste +16, Egg Power −3, Exp. Power +12, Raid Power +21, Flying Type Power +2, Poison Type Power +2",9,,
key-stone,battle,evolution-trigger,Allows one Pokémon holding a Mega Stone to Mega Evolve per battle.,6,,
key-to-room-1,field,unlock,Unlocks Room 1 in the Abandoned Ship or Sea Mauville and is consumed after use.,3,,
key-to-room-2,field,unlock,Unlocks Room 2 in the Abandoned Ship or Sea Mauville and is consumed on use.,3,,
key-to-room-202,field,unlock,Unlocks the player's room at Hotel Z,9,,
key-to-room-4,field,unlock,Unlocks the door to Room 4 in the Abandoned Ship or Sea Mauville and is consumed upon use.,3,,
key-to-room-6,field,unlock,Unlocks Room 6 in the Abandoned Ship or Sea Mauville; consumed on use,3,,
kings-leaf,passive,crafting,Used as a material to improve crafted medicine items.,8,,
kings-rock,held,flinch,Grants a chance to make the target flinch when damage is dealt.,2,,
kiwi,field,crafting,Used as an ingredient when making sandwiches.,9,,
klawf-stick,field,ingredient,Used as an ingredient when making sandwiches.,9,,
kofus-wallet,field,story,Required to be delivered to Kofu during the Cascarrafa Gym Test.,9,,
kommonium-z--held,held,evolution-trigger,Upgrades Kommo-o's Clanging Scales into the Z-Move Clangorous Soulblaze.,7,,Unaffected by Embargo or Klutz; cannot be removed by Trick or Fling.
koraidons-poke-ball,passive,storage,Houses Koraidon and sets the met date to when the item is obtained.,9,,
kubfu-treat,field,story,Allows the player to encounter and battle Kubfu at North Province (Area Two) after receiving a hint from Snacksworth.,9,,
kyogre-treat,field,encounter-trigger,Allows the player to encounter and battle Kyogre at Casseroya Lake.,9,,Showing it to Snacksworth provides a hint to Kyogre's location.
kyurem-treat,field,encounter-trigger,Allows the player to encounter and battle Kyurem at Dalizapa Passage and receive location hints from Snacksworth.,9,,
lab-key-card-a,field,story,Opens the console labeled “A” in Lysandre Labs to unlock a door and access additional areas.,9,,
lab-key-card-b,field,unlock,Opens the door at the console labeled “B” in Lysandre Labs.,9,,
lab-key-card-c,field,story-unlock,Opens the console labeled “C” in Lysandre Labs to unlock a door.,9,,
lab-key-card-x,passive,story,Currently unobtainable.,9,,
lagging-tail,held,turn-order,Forces the holder to move last in its priority bracket regardless of Speed.,4,,Unaffected by Trick Room; changes apply from the next turn if gained or lost mid-turn.
lansat-berry,battle,stat-boost,Raises critical-hit ratio by two stages when forcibly consumed.,3,,"Via Fling, Pluck, Bug Bite, or Item Urge."
lansat-berry,held,stat-boost,Raises critical-hit ratio by two stages when HP is at or below one-quarter.,3,,Activates earlier with Gluttony; not affected by Ripen.
large-leek,field,crafting,Used as an ingredient in cooking.,8,,
latias-treat,field,encounter-trigger,Allows the player to encounter and battle Latias at South Province (Area Four).,9,,
latias-treat,field,information,Showing the treat to Snacksworth provides a hint to Latias's location.,9,,
latiasite,held,evolution-trigger,Allows Latias to Mega Evolve into Mega Latias,6,,
latios-treat,field,encounter-trigger,Allows the player to encounter and battle Latios at North Province (Area Two) and receive a location hint from Snacksworth.,9,,
latiosite,battle,evolution-trigger,Allows Latios to Mega Evolve into Mega Latios,6,,Requires a Key Stone
latiosite,field,contest-effect,Allows Mega Evolution during Contest Spectacular talents,6,6,
lava-cookie,field,healing,"Cures poison, paralysis, sleep, burn, freeze, and confusion.",3,,
lax-incense,battle,accuracy-reduction,Reduces accuracy of moves targeting the holder by 10%,4,,
lax-incense,battle,accuracy-reduction,Reduces accuracy of moves targeting the holder by 5%,3,3,
lax-incense,field,breeding-modifier,Produces Wynaut Eggs instead of Wobbuffet Eggs,3,,
lax-mint,field,stat-modifier,"Changes Nature effect to Lax: Defense up, Special Defense down",8,,
laleaden-ball,battle,catch-rate,Catch rate modifier of 2× in battle; 2× on unsuspecting Pokémon and 1.75× otherwise in the field,8,,
leaders-crest,held,evolution-trigger,Enables Bisharp to evolve into Kingambit after defeating three Bisharp holding this item and leveling up.,9,,
leaf-letter--pikachu,passive,none,Serves no practical purpose.,7,,
leaf-stone,field,evolution-trigger,Evolves certain Pokémon when used,1,,
leafy-chairs,passive,decoration,Decorates the player's picnic without providing any gameplay effect.,9,,
leafy-tablecloth,passive,cosmetic,Decorates the player's picnic.,9,,
stick,held,stat-boost,Raises critical-hit ratio by two stages for Farfetch'd and Sirfetch'd,2,,
left-poke-ball,field,quest-item,Contains an old man's Dartrix that can be returned to his granddaughter to receive a Mental Herb.,7,,
leftovers,held,healing,Restores 1/16 of maximum HP at the end of each turn,2,,Heal Block interaction differs between generations
legend-plate,battle,type-change,Changes Arceus's type and Judgment's type dynamically based on the opponent's type.,8,,
legendary-clue-1,field,story,Reveals information about Calyrex and advances the Crown Tundra storyline.,8,,
legendary-clue-2,field,story-progression,"Provides clues required to locate and awaken the legendary giants Regirock, Regice, Registeel, and choose between Regieleki or Regidrago.",8,,
legendary-clue-3,field,story,Reveals information required to track and catch the legendary birds during Peony's expedition.,8,,
legendary-clue-question,field,story,Allows Necrozma and Ultra Beasts to be encountered in Dynamax Adventures after being read.,8,,
lemonade,field,healing,Restores 70 HP,7,,
lemonade,field,healing,Restores 80 HP,1,6,
lens-case,field,cosmetic,Allows the player to change their eye color in fitting rooms using contact lenses.,6,,
leppa-berry,field,pp-restoration,Restores 10 PP to a selected move when used from the Bag.,3,,
leppa-berry,held,pp-restoration,Restores 10 PP to a move that reaches 0 PP.,3,,Restores 20 PP if the holder has Ripen.
letter,story,story-progression,Delivering the letter to Steven progresses the storyline and rewards the player with a TM.,3,,
lettuce,field,crafting,Used as an ingredient when making sandwiches.,9,,
level-ball,battle,catch-rate-modifier,"Catch rate increases based on level difference, up to 8×",2,,Ultra Beasts have a fixed reduced modifier; Legends: Z-A has special behavior without an active Pokémon.
level-ball,held,fling,Fling fails,4,,
liberty-pass,passive,story-unlock,Allows the player to travel from Castelia City to Liberty Garden.,5,,
lidas-things,field,story,Must be returned to Lida to progress Main Mission 08: Reaching Rank V.,9,,
liechi-berry,held,stat-boost,Raises Attack by one stage when HP is at 1/4 or below (1/2 with Gluttony; two stages with Ripen).,3,,
life-orb,held,damage-boost,Boosts damage of damaging moves by 30% and deals 10% max HP recoil after each attack,4,,
lift-key,field,story,Allows operation of the elevator in Team Rocket's Hideout to access Giovanni's office.,1,,
light-ball,field,breeding,Allows Pichu to hatch knowing Volt Tackle if a parent holds it,3,,
light-ball,held,stat-boost,Doubles Pikachu's Attack and Special Attack (varies by generation),2,,
light-clay,held,duration-boost,"Extends Light Screen, Reflect, and Aurora Veil to 8 turns",4,,
light-stone,field,story,Summons Reshiram to assist the player during key story events.,5,,
like-mail,held,passive,Allows a customizable message to be written and sent when held by a Pokémon; restricts certain moves and transfers.,5,5,
lilac-chairs,field,passive,Decorates the player's picnic.,9,,
lilac-tablecloth,passive,cosmetic,Decorates the player's picnic with a light purple tablecloth.,9,,
linking-cord,field,evolution-trigger,Evolves certain Pokémon that normally evolve by trading,8,,Consumed upon use
litebluemail,held,passive,Allows the holder to carry a written message that can be traded to other games of the same generation.,2,2,Cannot be stolen by Thief.
loaded-dice,held,passive,Multistrike moves hit at least four times; certain moves use a single accuracy check and Population Bomb hits four to ten times.,9,,
lock-capsule,field,item-unlock,Can be opened by Mr. Lock in Castelia City to obtain TM95 (Snarl).,5,5,Never legitimately obtainable.
lonely-mint,field,nature-change,"Changes Nature effects to Lonely (Attack up, Defense down)",8,,
looker-ticket,passive,story-progression,Collecting all five tickets allows the player to progress the Looker Bureau storyline.,6,,
lopunnite,held,evolution-trigger,Allows Lopunny to Mega Evolve into Mega Lopunny,6,,Requires a Key Stone
lost-item,story,quest-item,"When returned to Copycat, she gives the player a Pass for the Magnet Train.",2,,
lost-satchel,field,passive,"Returns lost items to their owner when found, rewarding the finder with Merit Points.",8,,
love-ball,battle,catch-rate-modifier,8× catch rate if the wild Pokémon is the same species and opposite gender to the user's Pokémon; otherwise 1×,4,,Different behavior due to a glitch in Generation II.
love-sweet,held,evolution-trigger,Evolves Milcery into Alcremie when the player spins,8,,Item is consumed on use
lovely-mail,held,passive,Allows the holder to carry a custom written message that can be traded with other games of the same generation.,2,2,Cannot be stolen by Thief.
lucarionite,battle,evolution-trigger,Allows Lucario to Mega Evolve into Mega Lucario,6,,Requires the Trainer to have a Key Stone
lucarionite,held,passive,Unaffected by item-negating or item-manipulating effects,6,,
lucarionite-z,battle,evolution-trigger,Allows Lucario to Mega Evolve into Mega Lucario Z,9,,Requires a Key Stone; only one Mega Evolution per battle
luck-incense,held,prize-money-boost,Doubles prize money after battle if the holder participates,4,,Stacks with Happy Hour and Prize Money Power but not with Amulet Coin.
lucky-egg,held,experience-boost,Experience gained increased to 150%,2,,Does not affect experience from Auto Battles
lucky-punch,held,stat-boost,Raises critical hit ratio by 2 stages when held by Chansey,2,,Does not apply to transformed Pokémon in Generation II.
lugia-treat,field,encounter-trigger,Allows the player to encounter and battle Lugia at the North Paldean Sea.,9,,Showing it to Snacksworth provides a hint to Lugia's location.
lum-berry,field,status-healing,Cures all non-volatile status conditions of a Pokémon,3,,
lum-berry,held,status-healing,Cures all non-volatile status conditions and confusion,3,,
luminous-moss,held,stat-boost,Raises Special Defense by one stage when hit by a damaging Water-type move,6,,
lumiose-galette,field,healing,Cures all non-volatile status conditions and confusion.,6,,
lumiosian-butter,field,passive,Allows three berries to be used when making donuts.,9,,Used by Ansha
lunala-treat,field,encounter-trigger,Allows the player to encounter and battle Lunala at Casseroya Lake; showing it to Snacksworth provides a hint to Lunala's location.,9,,
lunalium-z--held,held,z-move-upgrade,Upgrades Moongeist Beam into Menacing Moonraze Maelstrom when held by Lunala or Dawn Wings Necrozma.,7,,Unaffected by Embargo or Klutz; cannot be removed by Trick or Fling.
lunar-feather,field,encounter-trigger,Causes a wild Cresselia to appear at Marvelous Bridge.,5,5,Known as Lunar Wing in this generation.
lunar-feather,field,story,Awakens a boy from an endless nightmare in Canalave City; item is consumed.,4,4,
lure,field,encounter-rate-boost,Increases encounter rates of rarer wild Pokémon for 100 steps and raises wild Pokémon levels by 1 above the area's normal maximum.,7,,Also increases the chance of encountering Shiny Pokémon.
lure-ball,battle,catch-rate-modifier,Increased catch rate in fishing encounters or water encounters depending on game,2,,Multiplier varies by generation and game.
lustrous-globe,field,form-change,Switches Palkia between its normal form and Origin Forme when used.,8,,Used from the satchel in Pokémon Legends: Arceus.
lustrous-globe,held,form-change,Changes Palkia to its Origin Forme while held.,9,,
lustrous-globe,held,type-boost,Boosts Dragon- and Water-type moves by 20%.,9,,
lustrous-orb,held,type-boost,Boosts Dragon- and Water-type move power by 20% when held by Palkia,4,,
luxury-ball,battle,catch-rate,1× catch rate modifier,3,,
